,year,gender,job_satisfaction,gender_label,satisfaction_label,decade
13080,1982,2,1,Female,Very Satisfied,1980
13092,1982,2,2,Female,Moderately Satisfied,1980
13153,1982,2,2,Female,Moderately Satisfied,1980
13184,1982,1,1,Male,Very Satisfied,1980
13190,1982,2,1,Female,Very Satisfied,1980
13218,1982,1,4,Male,Very Dissatisfied,1980
13225,1982,2,1,Female,Very Satisfied,1980
13329,1982,2,1,Female,Very Satisfied,1980
13333,1982,2,1,Female,Very Satisfied,1980
13373,1982,2,1,Female,Very Satisfied,1980
13388,1982,2,3,Female,A Little Dissatisfied,1980
13405,1982,2,2,Female,Moderately Satisfied,1980
13454,1982,2,2,Female,Moderately Satisfied,1980
13462,1982,2,1,Female,Very Satisfied,1980
13513,1982,2,1,Female,Very Satisfied,1980
13603,1982,2,1,Female,Very Satisfied,1980
13623,1982,2,2,Female,Moderately Satisfied,1980
13656,1982,2,2,Female,Moderately Satisfied,1980
13666,1982,2,1,Female,Very Satisfied,1980
13687,1982,2,1,Female,Very Satisfied,1980
13696,1982,1,2,Male,Moderately Satisfied,1980
13697,1982,2,2,Female,Moderately Satisfied,1980
13766,1982,2,3,Female,A Little Dissatisfied,1980
13767,1982,2,2,Female,Moderately Satisfied,1980
13778,1982,2,2,Female,Moderately Satisfied,1980
13787,1982,2,4,Female,Very Dissatisfied,1980
13799,1982,2,1,Female,Very Satisfied,1980
13804,1982,2,3,Female,A Little Dissatisfied,1980
13805,1982,2,4,Female,Very Dissatisfied,1980
13808,1982,2,4,Female,Very Dissatisfied,1980
13821,1982,2,2,Female,Moderately Satisfied,1980
13880,1982,2,2,Female,Moderately Satisfied,1980
13957,1982,2,2,Female,Moderately Satisfied,1980
13962,1982,1,3,Male,A Little Dissatisfied,1980
13967,1982,2,1,Female,Very Satisfied,1980
14001,1983,2,3,Female,A Little Dissatisfied,1980
14052,1983,2,2,Female,Moderately Satisfied,1980
14057,1983,2,1,Female,Very Satisfied,1980
14058,1983,2,1,Female,Very Satisfied,1980
14104,1983,2,1,Female,Very Satisfied,1980
14119,1983,2,2,Female,Moderately Satisfied,1980
14140,1983,2,1,Female,Very Satisfied,1980
14141,1983,2,3,Female,A Little Dissatisfied,1980
14145,1983,2,1,Female,Very Satisfied,1980
14146,1983,2,3,Female,A Little Dissatisfied,1980
14151,1983,2,1,Female,Very Satisfied,1980
14159,1983,2,3,Female,A Little Dissatisfied,1980
14205,1983,2,2,Female,Moderately Satisfied,1980
14207,1983,2,3,Female,A Little Dissatisfied,1980
14248,1983,2,1,Female,Very Satisfied,1980
14256,1983,2,1,Female,Very Satisfied,1980
14325,1983,2,2,Female,Moderately Satisfied,1980
14385,1983,2,1,Female,Very Satisfied,1980
14406,1983,2,1,Female,Very Satisfied,1980
14416,1983,2,1,Female,Very Satisfied,1980
14420,1983,2,3,Female,A Little Dissatisfied,1980
14426,1983,1,2,Male,Moderately Satisfied,1980
14427,1983,1,2,Male,Moderately Satisfied,1980
14438,1983,2,2,Female,Moderately Satisfied,1980
14462,1983,2,2,Female,Moderately Satisfied,1980
14499,1983,2,2,Female,Moderately Satisfied,1980
14527,1983,2,1,Female,Very Satisfied,1980
14534,1983,2,1,Female,Very Satisfied,1980
14546,1983,1,1,Male,Very Satisfied,1980
14552,1983,2,2,Female,Moderately Satisfied,1980
14582,1983,2,2,Female,Moderately Satisfied,1980
14613,1983,1,1,Male,Very Satisfied,1980
14617,1983,1,1,Male,Very Satisfied,1980
14624,1983,1,2,Male,Moderately Satisfied,1980
14629,1983,2,1,Female,Very Satisfied,1980
14663,1983,2,2,Female,Moderately Satisfied,1980
14670,1983,2,1,Female,Very Satisfied,1980
14683,1983,2,2,Female,Moderately Satisfied,1980
14703,1983,2,1,Female,Very Satisfied,1980
14740,1983,2,1,Female,Very Satisfied,1980
14798,1983,2,1,Female,Very Satisfied,1980
14799,1983,2,2,Female,Moderately Satisfied,1980
14800,1983,1,1,Male,Very Satisfied,1980
14804,1983,2,2,Female,Moderately Satisfied,1980
14815,1983,2,1,Female,Very Satisfied,1980
14829,1983,2,1,Female,Very Satisfied,1980
14836,1983,1,1,Male,Very Satisfied,1980
14872,1983,2,1,Female,Very Satisfied,1980
14933,1983,2,1,Female,Very Satisfied,1980
14997,1983,2,2,Female,Moderately Satisfied,1980
15016,1983,2,3,Female,A Little Dissatisfied,1980
15031,1983,2,2,Female,Moderately Satisfied,1980
15038,1983,2,1,Female,Very Satisfied,1980
15039,1983,2,1,Female,Very Satisfied,1980
15049,1983,2,1,Female,Very Satisfied,1980
15052,1983,2,1,Female,Very Satisfied,1980
15056,1983,2,1,Female,Very Satisfied,1980
15085,1983,2,1,Female,Very Satisfied,1980
15086,1983,2,2,Female,Moderately Satisfied,1980
15095,1983,2,2,Female,Moderately Satisfied,1980
15115,1983,2,2,Female,Moderately Satisfied,1980
15170,1983,2,2,Female,Moderately Satisfied,1980
